ticker,yearReport,lengthReport,CURRENT ASSETS (Bn. VND),Cash and cash equivalents (Bn. VND),Short-term investments (Bn. VND),Accounts receivable (Bn. VND),Net Inventories,Other current assets,LONG-TERM ASSETS (Bn. VND),Long-term loans receivables (Bn. VND),Fixed assets (Bn. VND),Investment in properties,Long-term investments (Bn. VND),Other non-current assets,TOTAL ASSETS (Bn. VND),LIABILITIES (Bn. VND),Current liabilities (Bn. VND),Long-term liabilities (Bn. VND),OWNER'S EQUITY(Bn.VND),Capital and reserves (Bn. VND),Other Reserves,Undistributed earnings (Bn. VND),MINORITY INTERESTS,TOTAL RESOURCES (Bn. VND),Prepayments to suppliers (Bn. VND),Short-term loans receivables (Bn. VND),"Inventories, Net (Bn. VND)",Other current assets (Bn. VND),Investment and development funds (Bn. VND),Common shares (Bn. VND),Paid-in capital (Bn. VND),Convertible bonds (Bn. VND),Long-term borrowings (Bn. VND),Advances from customers (Bn. VND),Short-term borrowings (Bn. VND),Good will (Bn. VND),Long-term prepayments (Bn. VND),Other long-term assets (Bn. VND),Other long-term receivables (Bn. VND),Long-term trade receivables (Bn. VND),symbol,Balances with the SBV,Placements with and loans to other credit institutions,"Trading Securities, net",Trading Securities,Provision for diminution in value of Trading Securities,Derivatives and other financial liabilities,"Loans and advances to customers, net",Loans and advances to customers,Less: Provision for losses on loans and advances to customers,Investment Securities,Available-for Sales Securities,Held-to-Maturity Securities,Less: Provision for diminution in value of investment securities,Investments in associate companies,Less: Provision for diminuation in value of long term investments,Tangible fixed assets,Intagible fixed assets,Other Assets,Due to Gov and borrowings from SBV,Deposits and borrowings from other credit institutions,Deposits from customers,_Derivatives and other financial liabilities,"Funds received from Gov, international and other institutions",Convertible bonds/CDs and other valuable papers issued,Other liabilities,Capital,Reserves,Foreign Currency Difference reserve
AAA,2025,4,4532817492410.0,1617746098453,234400000000.0,1504656772541.0,943451289416.0,232563332000.0,8358787241343.0,299000000000.0,2781815430712,1270445671373.0,495965434449,1068252783224.0,12891604733753,6812374373990,3279775954320.0,3532598419670.0,6079230359763,6079230359763.0,18751291534.0,551744950554,610805516396.0,12891604733753,399960128545.0,313086500000.0,944450213533.0,0.0,80481616464.0,3937427300000.0,3937427300000,0.0,1129878560761.0,132096768159.0,1901174752227.0,125013712056.0,931694291185.0,30456248808.0,59217026715.0,358217026715.0,AAA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAA,2025,3,4377037083396.0,1741373916584,186400000000.0,1531251902335.0,757283181389.0,160728083088.0,7864700594492.0,299000000000.0,2787129259488,1285597312797.0,490734695546,1125689658349.0,12241737677888,6223854505750,3110747143104.0,3113107362646.0,6017883172138,6017883172138.0,18751291534.0,471371548675,629951696575.0,12241737677888,486392463050.0,186000000000.0,757283181389.0,0.0,80481616464.0,3937427300000.0,3937427300000,0.0,1030799788482.0,126881101409.0,1837584426517.0,132867942956.0,983548619799.0,30456248808.0,53769516253.0,363187659909.0,AAA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAA,2025,2,4553020197155.0,1706426051965,229407600000.0,1475454681315.0,987232373973.0,154499489902.0,7606507839458.0,299000000000.0,2811033855000,1272812518644.0,471212967601,1120107660283.0,12159528036613,6314821127450,3190439932889.0,3124381194561.0,5844706909163,5844706909163.0,18751291534.0,453286006746,591511829777.0,12159528036613,568507483830.0,20000000000.0,987232373973.0,0.0,80481616464.0,3822744960000.0,3822744960000,0.0,1049114542787.0,146540910813.0,1857118597790.0,140722173857.0,968546871232.0,30456248808.0,49769111022.0,348769111022.0,AAA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAA,2025,1,4793960251895.0,2106077190958,166190744500.0,1551510885796.0,827536022226.0,142645408415.0,7390793127094.0,358500000000.0,2761543900470,1288373702912.0,560680486783,796420488348.0,12184753378989,6147473304346,3056908025337.0,3090565279009.0,6037280074643,6037280074643.0,18751291534.0,594090173477,649389862313.0,12184753378989,757805242346.0,1500000000.0,827589373521.0,0.0,80481616464.0,3822744960000.0,3822744960000,0.0,1351917515112.0,121551366911.0,2043921126528.0,148576404757.0,633457666864.0,30456248808.0,30871204736.0,389371204736.0,AAA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAA,2024,4,6426369244563.0,2419517905105,718639358712.0,1801012289922.0,1286443372106.0,200756318718.0,7341846339892.0,358500000000.0,3037270806863,1303970692613.0,254217998561,1136863151319.0,13768215584455,7531941631255,4132594319010.0,3399347312245.0,6236273953200,6236273953200.0,18751291534.0,539311728597,902455310817.0,13768215584455,548902941301.0,1500000000.0,1288143128446.0,0.0,80481616464.0,3822744960000.0,3822744960000,0.0,1339620732954.0,135152896271.0,2554855324899.0,156430635657.0,966201588541.0,30376592621.0,26148137968.0,384648137968.0,AAA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAA,2024,3,6956714508528.0,1945532019980,1346697394178.0,2303218872955.0,1138806271275.0,222459950140.0,6075525235098.0,358500000000.0,2717470957150,1324944634827.0,273912623253,955164387362.0,13032239743626,6955710255283,4136418106173.0,2819292149110.0,6076529488343,6076529488343.0,18751291534.0,269844663327,1022402946905.0,13032239743626,740033832744.0,290325328767.0,1139066069693.0,0.0,80481616464.0,3822744960000.0,3822744960000,0.0,779984342981.0,151267936143.0,2801596271811.0,43205589496.0,897925186661.0,49976592621.0,19413131805.0,377913131805.0,AAA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAA,2024,2,6152632538191.0,2188093990715,1318382250000.0,1585450329064.0,890797021045.0,169908947367.0,6115223219397.0,343300250000.0,1916572415553,1340350302192.0,1343884550537,881415303958.0,12267855757588,6105593398756,3607913079905.0,2497680318851.0,6162262358832,6162262358832.0,18751291534.0,782172256083,585026551130.0,12267855757588,655264859253.0,106738000000.0,891770591173.0,0.0,80481616464.0,3822744960000.0,3822744960000,0.0,547451539393.0,154634275729.0,2510129835339.0,44736658042.0,823302978572.0,0.0,10409193733.0,353709443733.0,AAA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAA,2024,1,5504717598034.0,2017366509375,197451050000.0,2530441102546.0,604260563714.0,155198372399.0,6181900412655.0,398934150000.0,1964597358066,1358591960902.0,1353097235679,879836245565.0,11686618010689,5623021220528,3411149443389.0,2211871777139.0,6063596790161,6063596790161.0,18751291534.0,693519845467,586511698011.0,11686618010689,698841814064.0,759308754048.0,605617802847.0,0.0,80481616464.0,3822744960000.0,3822744960000,0.0,329579423872.0,115433010516.0,2382591097052.0,46267726588.0,816694523674.0,0.0,6590980260.0,405525130260.0,AAA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAA,2023,4,5688336332807.0,2435058282465,1079609986000.0,1232500178273.0,760810693155.0,180357192914.0,5846639913087.0,77154150000.0,1946902023233,1317371277837.0,1328045371157,873382788410.0,11534976245894,5614689992713,3746883819114.0,1867806173599.0,5920286253181,5920286253181.0,18751291534.0,565860941388,571368089756.0,11534976245894,343902777299.0,63067844806.0,762527847268.0,0.0,80481616464.0,3822744960000.0,3822744960000,0.0,358670895783.0,144718492819.0,2625493361173.0,57203184735.0,801064621258.0,0.0,5143119278.0,84392803593.0,AAA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAA,2023,3,5858655780805.0,1689712971535,1391367436000.0,1922463914793.0,690502336003.0,164609122474.0,5751606062962.0,143345750000.0,1998478887675,468794498332.0,1317954806265,827567134188.0,11610261843767,5162454215090,3206291903677.0,1956162311413.0,6447807628677,6447807628677.0,18751291534.0,893732261191,772208164353.0,11610261843767,317819969095.0,296549690310.0,704118740818.0,0.0,80481616464.0,3822744960000.0,3822744960000,0.0,1099098717329.0,118527164622.0,2055450182038.0,58981737219.0,762222868167.0,0.0,9859920408.0,153205670408.0,AAA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
