ticker,yearReport,lengthReport,Net Profit/Loss before tax,Depreciation and Amortisation,Provision for credit losses,Unrealized foreign exchange gain/loss,Profit/Loss from disposal of fixed assets,Profit/Loss from investing activities,Interest Expense,Operating profit before changes in working capital,Increase/Decrease in receivables,Increase/Decrease in inventories,Increase/Decrease in payables,Increase/Decrease in prepaid expenses,Interest paid,Business Income Tax paid,Other receipts from operating activities,Other payments on operating activities,Net cash inflows/outflows from operating activities,Purchase of fixed assets,Proceeds from disposal of fixed assets,"Loans granted, purchases of debt instruments (Bn. VND)","Collection of loans, proceeds from sales of debts instruments (Bn. VND)",Investment in other entities,Proceeds from divestment in other entities,Gain on Dividend,Net Cash Flows from Investing Activities,Increase in charter captial,Proceeds from borrowings,Repayment of borrowings,Finance lease principal payments,Dividends paid,Cash flows from financial activities,Net increase/decrease in cash and cash equivalents,Cash and cash equivalents,Foreign exchange differences Adjustment,Cash and Cash Equivalents at the end of period,symbol,Interest income and dividends,Payments for share repurchases,Profits from other activities,Net Cash Flows from Operating Activities before BIT,Payment from reserves
AAA,2025,4,101552618209.0,125314472902.0,3693494998.0,653279016.0,0.0,-41955374139.0,37990593377.0,227249084363.0,-43640927412.0,-185953500064.0,364058888347.0,-16118619265.0,-29530714213.0,-15036055869.0,0.0,-4515810190.0,296512345697.0,-564143687806.0,1048653334.0,-470486500000.0,385400000000.0,0.0,0.0,15185513608.0,-632996020864.0,36440000000.0,1118308246924.0,-954575603114.0,-1364160673.0,0.0,198808483137.0,-137675192030.0,1741373916584.0,14047373899.0,1617746098453.0,AAA,,,,,
AAA,2025,3,156177544852.0,123479574529.0,0.0,21981270333.0,0.0,-32056061888.0,25934260737.0,295516588563.0,-132406920891.0,229949192584.0,34362907030.0,-8113252916.0,-29537911704.0,-1877108517.0,0.0,-7975839913.0,379917654236.0,-193696700868.0,7148422173.0,-166000000000.0,43007600000.0,0.0,0.0,9601783090.0,-299938895605.0,9915220000.0,947506979217.0,-980387318714.0,-2097696090.0,0.0,-25062815587.0,54915943044.0,1706426051965.0,-19968078425.0,1741373916584.0,AAA,,,,,
AAA,2025,2,211000328064.0,124198168494.0,-53351295.0,-28939479859.0,0.0,-73102523029.0,46281642503.0,279384784878.0,-82268716419.0,-159643000452.0,305307632967.0,-17369554096.0,-22492040819.0,-7816556527.0,0.0,-19958088049.0,275144461483.0,-2171821590.0,852909090.0,-96400000000.0,76984624500.0,-98022500000.0,26018137374.0,19616177732.0,-73122472894.0,0.0,1067790770989.0,-1579426072664.0,-4497897890.0,-114663284700.0,-630796484265.0,-428774495676.0,2106077190958.0,29123356683.0,1706426051965.0,AAA,,,,,
AAA,2025,1,68490244130.0,131683853040.0,-1012389278.0,-822206533.0,0.0,83780280365.0,40409600529.0,322529382253.0,-409561376438.0,133904914117.0,42042558551.0,-19220641827.0,-52037215089.0,-77485012628.0,0.0,-8444068137.0,-68271459198.0,-665452179849.0,972592591.0,-215732079606.0,632809250429.0,0.0,-205916083247.0,43917536798.0,-409400962884.0,0.0,1743983883487.0,-1576053168725.0,-3502410204.0,-55000000.0,164373304558.0,-313299117524.0,2419517905105.0,-141596623.0,2106077190958.0,AAA,,,,,
AAA,2024,4,98315358351.0,140838609929.0,2503038058.0,-8992148908.0,0.0,69567332283.0,51829594558.0,354061784271.0,279527719101.0,-212325613367.0,134088136550.0,-5499392672.0,-60145148046.0,-3972261559.0,0.0,-7607651930.0,478127572348.0,-487078434130.0,13108357881.0,259290666767.0,768068979249.0,-829315535422.0,980000000.0,50648668782.0,-224297296873.0,0.0,2189378260309.0,-1980667866373.0,-3502410204.0,0.0,205207983732.0,459038259207.0,1945532019980.0,14947625918.0,2419517905105.0,AAA,,,,,
AAA,2024,3,-27915231028.0,81806145599.0,143380938.0,21643938611.0,0.0,-28790374292.0,36376915834.0,83264775662.0,-269764845303.0,69125306894.0,147006907967.0,1283122153.0,-28728048279.0,-668101215.0,0.0,-5738740706.0,-4219622827.0,-156864177958.0,1652861954.0,-330701217945.0,199336846825.0,-81900830076.0,187500000.0,4133604945.0,-364155412255.0,0.0,1841320124377.0,-1676212552889.0,0.0,0.0,165107571488.0,-203267463594.0,2188093990715.0,-39294507141.0,1945532019980.0,AAA,,,,,
AAA,2024,2,177234822276.0,86460873829.0,3923958950.0,-19436035413.0,0.0,-44363994548.0,42434224106.0,246253849200.0,357594984555.0,-286190999663.0,68501270137.0,7943781367.0,-49111042138.0,-18131873861.0,0.0,-19141807949.0,307718161648.0,-161897844756.0,19809066533.0,-1046805091028.0,638068374880.0,0.0,0.0,34259512218.0,-516565982153.0,0.0,1711495211246.0,-1374335447935.0,0.0,0.0,337159763311.0,128311942806.0,2017366509375.0,42415538534.0,2188093990715.0,AAA,,,,,
AAA,2024,1,167931087561.0,91337486865.0,-352690563.0,0.0,0.0,-60920062337.0,37415239242.0,235411060768.0,-465715173002.0,177706047827.0,308281803900.0,-27804390855.0,-36779880432.0,-10445397963.0,0.0,-3366327198.0,177287743045.0,-232275863255.0,528233500.0,-1199063158972.0,1063010085730.0,-33120000000.0,10000000000.0,80723292089.0,-310197410908.0,0.0,1211587610415.0,-1485454686996.0,0.0,-10532850000.0,-284399926581.0,-417309594444.0,2435058282483.0,-382178664.0,2017366509375.0,AAA,,,,,
AAA,2023,4,109937088896.0,88896769206.0,2798290586.0,-8615650660.0,0.0,-86334887927.0,62673329448.0,169354939549.0,597907657686.0,-58402706875.0,567212443017.0,-32749012751.0,-108293191308.0,-55968239888.0,0.0,-5009574698.0,1074052314732.0,-181665649920.0,64117964.0,-184320315484.0,722225720000.0,-603975000000.0,0.0,49726386229.0,-197944741211.0,0.0,1522961842298.0,-1650773058457.0,0.0,-23343500.0,-127834559659.0,748273013862.0,1689712971535.0,-2927702932.0,2435058282465.0,AAA,,,,,
AAA,2023,3,127058228364.0,82899563127.0,-10149087050.0,-7776511050.0,0.0,-51721638458.0,48683673846.0,188994228779.0,-242725869026.0,705005970756.0,297014231771.0,3669156161.0,-36145502874.0,-695575853.0,0.0,-3172197230.0,911944442484.0,-375926041639.0,1155130364.0,-512427464868.0,359734310000.0,-4748600000.0,0.0,23132599559.0,-509080066584.0,0.0,1796927814677.0,-1882099216396.0,0.0,0.0,-85171401719.0,317692974181.0,1367496215370.0,4523781984.0,1689712971535.0,AAA,,,,,
AAA,2023,2,64016674724.0,79903010743.0,4527105530.0,7776511050.0,0.0,-53320370968.0,48655395994.0,151558327073.0,399399558618.0,-393922719770.0,15871558160.0,138280404.0,-61947385261.0,-383262390.0,0.0,-5967343607.0,104747013227.0,-5244518525.0,5669990545.0,-632254310650.0,291517800000.0,-46945861403.0,0.0,42351595276.0,-344905304757.0,0.0,1520426312223.0,-1747016703620.0,0.0,-104000000.0,-226694391397.0,-466852682927.0,1827056484454.0,7292413843.0,1367496215370.0,AAA,,,,,
AAA,2023,1,79243931236.0,78929940763.0,-51606850211.0,0.0,0.0,-44901416718.0,47183323669.0,108848928739.0,-242087350041.0,705838019395.0,-36367958626.0,-9800532569.0,-39504358359.0,-2964523858.0,0.0,-14860374203.0,469101850478.0,-14647760621.0,2172727273.0,-1073505058986.0,565507300000.0,-74200000000.0,0.0,48327932760.0,-546344859574.0,0.0,1562749667361.0,-1300227194324.0,0.0,0.0,262522473037.0,185279463941.0,1642978052440.0,-1201031927.0,1827056484454.0,AAA,,,,,
AAA,2022,4,-159939726343.0,78720592438.0,72903141735.0,-4669068884.0,0.0,-62383783157.0,61111899455.0,-14256944756.0,167848220205.0,314319448458.0,99224101800.0,-2565528178.0,-63741091449.0,-55084318179.0,0.0,-16900655418.0,428843232483.0,-15139349352.0,280000000.0,-78365030000.0,359298770000.0,-78060000000.0,-77000000000.0,27047197404.0,138061588052.0,0.0,1680590002871.0,-1947195375732.0,0.0,0.0,-266605372861.0,300299447674.0,1353251366894.0,1905943247.0,1655456757815.0,AAA,,,,,
AAA,2022,3,104879486254.0,77044825156.0,-15017803972.0,-2402271095.0,0.0,-24341529139.0,41938040098.0,182100747302.0,383839543987.0,-231234709781.0,-365320565207.0,14730217293.0,-30350467860.0,-1798257475.0,0.0,-8552348825.0,-56585840566.0,-6390393418.0,461976155.0,-194394250000.0,39813550000.0,-91470298950.0,77000000000.0,14161103970.0,-160818312243.0,669755200000.0,1955219078912.0,-2082615105317.0,0.0,0.0,542359173595.0,324955020786.0,1020615568519.0,7680777589.0,1353251366894.0,AAA,,,,,
AAA,2022,2,114508477712.0,77466757647.0,15017803972.0,2402271095.0,0.0,-41731937957.0,37562536383.0,205225908852.0,176401068731.0,-871308239634.0,234240687966.0,19344545071.0,-46554809787.0,-23029627269.0,0.0,-4581686339.0,-310262152409.0,-60916344516.0,4288215488.0,-113708600000.0,94273800000.0,-328965788845.0,0.0,30094233813.0,-374934484060.0,184465690000.0,2211111508981.0,-2254117427321.0,0.0,-152250000.0,141307521660.0,-543889114809.0,1549911273413.0,14593409915.0,1020615568519.0,AAA,,,,,
AAA,2022,1,122916373731.0,77740276559.0,0.0,0.0,0.0,-28200497873.0,41344677305.0,213800829722.0,-440106633757.0,-44812029961.0,349982802317.0,19540118710.0,-29521377130.0,-35822639344.0,0.0,-13913833989.0,19147236568.0,-70099552131.0,958181818.0,-228297600000.0,73049588400.0,-455798729452.0,400000000.0,12001406524.0,-667786704841.0,0.0,2045526520535.0,-1831645656136.0,0.0,0.0,213880864399.0,-434758603874.0,1988170740182.0,-3500862895.0,1549911273413.0,AAA,,,,,
AAA,2021,4,96809432071.0,81044282228.0,-1143794525.0,5222727270.0,0.0,-54268578590.0,40381953881.0,168046022335.0,699714129641.0,56503768864.0,-272545129225.0,-28958205206.0,-37925964104.0,-69329100802.0,0.0,-10090061576.0,505415459927.0,-67544808337.0,6148859433.0,-306563393250.0,601792164250.0,-215370152337.0,94080000000.0,68286037257.0,180828707016.0,-66000000.0,2377841858974.0,-2364989976189.0,0.0,-148350075501.0,-135564192716.0,550679974227.0,1439605995924.0,-3115257469.0,1987170712682.0,AAA,,,,,
AAA,2021,3,93539946201.0,78753243347.0,-4140362635.0,-3398132424.0,0.0,-27334532159.0,34859183964.0,172279346294.0,-408163859307.0,108838407355.0,238726795067.0,24202739590.0,-26536036929.0,-8221850904.0,0.0,-2804615540.0,98320925626.0,-388883567943.0,241818182.0,-682618785150.0,197696457750.0,0.0,176625000000.0,19516676853.0,-677422400308.0,0.0,2237713620857.0,-2430000886314.0,0.0,-100000000.0,-192387265457.0,-771488740139.0,2214209755238.0,-3115019175.0,1439605995924.0,AAA,,,,,
AAA,2021,2,117230499400.0,79633010142.0,1908291760.0,3398132424.0,0.0,-15088533770.0,46419458220.0,233500858176.0,204896918583.0,139241195072.0,-333463923603.0,-6815378180.0,-60756317491.0,-2598789767.0,0.0,-29759909367.0,144244653423.0,-198280466896.0,60000000.0,290445357631.0,638090743159.0,-125855923243.0,7125000000.0,24637984105.0,636222694756.0,1082328154488.0,1997941393941.0,-2612976053148.0,0.0,-95860000.0,467197635281.0,1247664983460.0,967769374300.0,-1224602522.0,2214209755238.0,AAA,,,,,
AAA,2021,1,106055496044.0,76395566067.0,-870072363.0,0.0,0.0,-37329840142.0,39329555287.0,183580704893.0,-197643910521.0,-217704055511.0,79793533996.0,-10977933273.0,-25084122847.0,-11786630487.0,0.0,-1973501250.0,-201795915000.0,-31488705821.0,0.0,-941573057631.0,737771615402.0,-59784000000.0,0.0,29457899935.0,-265616248115.0,63450000000.0,2150369385801.0,-1741869450986.0,0.0,0.0,471949934815.0,4537771700.0,963717122052.0,-485519452.0,967769374300.0,AAA,,,,,
AAA,2020,4,69002760213.0,76425251008.0,11008530063.0,530341283.0,0.0,-43643100864.0,49315034270.0,162638815973.0,-211087050521.0,-6510052353.0,255465748250.0,5066015927.0,-56903309992.0,-16265950043.0,0.0,-2082938835.0,129321278406.0,-174076282847.0,1495454546.0,206669053545.0,571360938636.0,-136462696800.0,1900000000.0,37552154916.0,508438621996.0,0.0,1823295284367.0,-1732861991513.0,0.0,-3100000000.0,87333292854.0,725093193256.0,238982685166.0,-358756370.0,963717122052.0,AAA,,,,,
AAA,2020,3,100021813046.0,76145933985.0,-946799679.0,-350486229.0,0.0,-33068733758.0,50296867542.0,192098594907.0,40684916374.0,94137746461.0,-159945546613.0,-22898694054.0,-40337325036.0,-10464264917.0,0.0,-2123210327.0,91152216795.0,-18947631033.0,1000000000.0,-325565980140.0,659096009328.0,-493700234696.0,38518235972.0,19450883068.0,-120148717501.0,539951500000.0,1633609487500.0,-2068386074474.0,0.0,-105571913000.0,-396999974.0,-29393500680.0,267894557509.0,481628337.0,238982685166.0,AAA,,,,,
AAA,2020,2,76012916530.0,67430455401.0,2555047679.0,350486229.0,0.0,-42812676653.0,54811943210.0,158348172396.0,132478815857.0,64831115112.0,102704845314.0,8207226415.0,-57649976417.0,-138893181.0,0.0,-9987935348.0,398793370148.0,-64265638513.0,1363636364.0,-869368623314.0,636105707000.0,-129451214638.0,72274544028.0,27598558272.0,-325743030801.0,-20010000000.0,1586411116803.0,-1658900987142.0,0.0,0.0,-92499870339.0,-19449530992.0,288449896598.0,-1105808097.0,267894557509.0,AAA,,,,,
AAA,2020,1,73910543742.0,67127434887.0,-352469704.0,0.0,0.0,-27310075329.0,51757987726.0,165133421322.0,-35575926707.0,104840148104.0,-204702380933.0,-1109602657.0,-44447435615.0,-22725854278.0,0.0,-28810536379.0,-7728147143.0,-14144030419.0,253636364.0,-773835700000.0,817301753425.0,-87735438000.0,0.0,51323986320.0,-6835792310.0,30010000000.0,1886231270335.0,-1905098832145.0,0.0,0.0,11142438190.0,-3421501263.0,291674680985.0,196716876.0,288449896598.0,AAA,,,,,
AAA,2019,4,77865056098.0,67473990656.0,352469704.0,7383267849.0,0.0,-35985144755.0,51244063173.0,168333702725.0,605614898966.0,-233861698742.0,260024922977.0,-4738070438.0,-56018587856.0,-29090882929.0,0.0,-3043900446.0,647550364257.0,-83049119926.0,6272727273.0,-644127608000.0,220854948463.0,-14413900000.0,1000000.0,24751762842.0,-489710189348.0,0.0,1726712528612.0,-1758168679453.0,0.0,-8575000000.0,-40031150841.0,117809024068.0,232025439569.0,-138782652.0,349695680985.0,AAA,,,,,
AAA,2019,3,85700801568.0,66128662611.0,-1099770379.0,-8324404521.0,0.0,-26120882159.0,54341479564.0,170625886684.0,332177456441.0,135163866519.0,-270510696994.0,-857184281.0,-50609351426.0,-21663107522.0,0.0,-2784783612.0,291542085809.0,-58693328017.0,424373636.0,-219886569425.0,420535246500.0,-3000000000.0,0.0,18591471218.0,157971193912.0,0.0,1887752937909.0,-2290153808371.0,0.0,-85571913000.0,-487972783462.0,-38459503741.0,271392032211.0,-907088901.0,232025439569.0,AAA,,,,,
AAA,2019,2,161115814293.0,62646642950.0,1099770379.0,8324404521.0,0.0,-33597700799.0,78838332261.0,278427263605.0,-160789159433.0,-451643010620.0,562918347171.0,-18951026433.0,-73029078537.0,-6522990516.0,-12000000000.0,-34454226221.0,83956119016.0,-249525769880.0,1449703273.0,-751586664767.0,396227077080.0,75200000000.0,21000000000.0,-5771457421.0,-513007111715.0,0.0,2237245357301.0,-2018879546722.0,0.0,-780175000.0,217585635579.0,-211465357120.0,482425462169.0,431927162.0,271392032211.0,AAA,,,,,
AAA,2019,1,272739642392.0,62431489567.0,-2750517531.0,0.0,0.0,-46021055923.0,45933094039.0,332332652544.0,-854672014713.0,150699254480.0,207018095018.0,-4094752264.0,-48113857560.0,-12493164128.0,12000000000.0,-1082400892.0,-218406187515.0,-47713200346.0,116225455.0,-700488835038.0,506282986089.0,-140772780000.0,68039042569.0,42150123815.0,-272386437456.0,0.0,2151984729201.0,-1821851582530.0,0.0,-2404825000.0,327728321671.0,-163064303300.0,645474843425.0,14922044.0,482425462169.0,AAA,,,,,
AAA,2018,4,64219942475.0,62414701179.0,2750517531.0,1909941812.0,0.0,-15122788195.0,17229071634.0,133401386436.0,7922208869.0,-58701115966.0,44662877691.0,2724152063.0,-14830657856.0,-10152382800.0,18700000000.0,-991445110.0,122735023327.0,-500226280664.0,0.0,-461549836986.0,76895216314.0,-10051750800.0,5050000000.0,8204123334.0,-881678528802.0,4500000000.0,2500687219443.0,-1755715121949.0,0.0,235750000.0,749707847494.0,-9235657981.0,655415995968.0,-705494562.0,645474843425.0,AAA,,,,,
AAA,2018,3,57414065008.0,61654295128.0,0.0,-8335133216.0,0.0,-11842458468.0,39751214298.0,138641982750.0,-20721407937.0,94177541097.0,-55717897089.0,-9138481622.0,-39780332254.0,-8807755207.0,12962982835.0,-2578797892.0,109037834681.0,-217362813874.0,0.0,-127650000000.0,141597293500.0,-82291252000.0,0.0,7587046586.0,-278119725788.0,72006000000.0,1767384111827.0,-1625039129185.0,0.0,-810000000.0,213540982642.0,44459091535.0,610736511767.0,220392666.0,655415995968.0,AAA,,,,,
AAA,2018,2,59661144613.0,60623677437.0,0.0,8335133216.0,0.0,-9108417254.0,45754572288.0,165266110300.0,256525862905.0,-173510576323.0,-55113671580.0,-7300165710.0,-39257716213.0,-12836251613.0,9937017165.0,-7138959628.0,136571649303.0,-930961978315.0,0.0,-511762225990.0,2997800000.0,4033992854.0,-164331450.0,3093620191.0,-1432763122710.0,1339041802000.0,1868785924258.0,-1718970606442.0,0.0,-9987655000.0,1478869464816.0,182677991409.0,427747817583.0,310702775.0,610736511767.0,AAA,,,,,
AAA,2018,1,72689171088.0,60258707137.0,0.0,0.0,0.0,-4124823841.0,23245616132.0,152068670516.0,-143352472092.0,-191330178985.0,-75495082180.0,-15329744519.0,-30226842276.0,-14346347901.0,28400000000.0,-40191731930.0,-329803729367.0,-49967380527.0,0.0,-126000000000.0,122216123219.0,0.0,13440050000.0,4644923614.0,-35666283694.0,2694000000.0,1723588374444.0,-1317072210833.0,0.0,-125569969500.0,283640194111.0,-81829818950.0,509577636533.0,0.0,427747817583.0,AAA,,,,,
AAM,2025,4,-483251582.0,343902601.0,512039223.0,167819180.0,,-2315842271.0,0.0,-1775332849.0,147293561.0,-10204098043.0,-2199470863.0,60000000.0,0.0,-75547879.0,0.0,-2310000.0,-14049466073.0,-743293745.0,0.0,-68000000000.0,7000000000.0,0.0,3749938500.0,1098114875.0,-56895240370.0,0.0,0.0,0.0,,0.0,0.0,-70944706443.0,97287937010.0,-52437328.0,26290793239.0,AAM,0.0,0.0,,,
AAM,2025,3,474836432.0,349232216.0,0.0,0.0,,-598516312.0,0.0,225552336.0,8169974602.0,29112545580.0,-3241511143.0,60000000.0,0.0,-1127170192.0,0.0,0.0,33199391183.0,0.0,72727273.0,-35000000000.0,15000000000.0,0.0,0.0,1022383559.0,-18904889168.0,0.0,0.0,0.0,,0.0,0.0,14294502015.0,82993434995.0,0.0,97287937010.0,AAM,0.0,0.0,,,
AAM,2025,2,2474683651.0,389277355.0,852406742.0,-614007314.0,,-1016642559.0,0.0,2085717875.0,-6818429781.0,26893623777.0,-565093247.0,60000000.0,0.0,0.0,10000000.0,-2200000.0,21663618624.0,0.0,0.0,-7000000000.0,0.0,0.0,0.0,520048039.0,-6479951961.0,0.0,0.0,0.0,,0.0,0.0,15183666663.0,67319585495.0,490182837.0,82993434995.0,AAM,0.0,0.0,,,
