symbol,organ_name,icb_code1,icb_code2,icb_code3,icb_code4,icb_name2,icb_name3,icb_name4
AAA,Công ty Cổ phần Nhựa An Phát Xanh,1000,1300,1350,1353,Hóa chất,Hóa chất,"Nhựa, cao su & sợi"
AAM,Công ty Cổ Phần Thủy Sản MeKong,3000,3500,3570,3573,Thực phẩm và đồ uống,Sản xuất thực phẩm,Nuôi trồng nông & hải sản
AAT,Công ty Cổ phần Tập đoàn Tiên Sơn Thanh Hóa,3000,3700,3760,3763,Hàng cá nhân & Gia dụng,Hàng cá nhân,Hàng May mặc
ABR,Công ty Cổ phần Đầu tư Nhãn Hiệu Việt,2000,2700,2790,2791,Hàng & Dịch vụ Công nghiệp,Tư vấn & Hỗ trợ Kinh doanh,Tư vấn & Hỗ trợ KD
ABS,Công ty Cổ phần Dịch vụ Nông nghiệp Bình Thuận,1000,1300,1350,1357,Hóa chất,Hóa chất,"Sản phẩm hóa dầu, Nông dược & Hóa chất khác"
ABT,Công ty Cổ phần Xuất nhập khẩu Thủy sản Bến Tre,3000,3500,3570,3573,Thực phẩm và đồ uống,Sản xuất thực phẩm,Nuôi trồng nông & hải sản
ACB,Ngân hàng Thương mại Cổ phần Á Châu,8301,8300,8350,8355,Ngân hàng,Ngân hàng,Ngân hàng
ACC,Công ty Cổ phần Đầu tư và Xây dựng Bình Dương ACC,2000,2300,2350,2353,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất
ACG,Công ty Cổ phần Gỗ An Cường,1000,1700,1730,1733,Tài nguyên Cơ bản,Lâm nghiệp và Giấy,Lâm sản và Chế biến gỗ
ACL,Công ty Cổ phần Xuất nhập khẩu Thủy sản Cửu Long An Giang,3000,3500,3570,3573,Thực phẩm và đồ uống,Sản xuất thực phẩm,Nuôi trồng nông & hải sản
ADG,Công ty Cổ phần Clever Group,5000,5500,5550,5555,Truyền thông,Truyền thông,Dịch vụ truyền thông
ADP,Công ty Cổ phần Sơn Á Đông,2000,2300,2350,2353,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất
ADS,Công ty Cổ phần DAMSAN,3000,3700,3760,3763,Hàng cá nhân & Gia dụng,Hàng cá nhân,Hàng May mặc
AFX,Công ty Cổ phần Xuất Nhập khẩu Nông sản Thực phẩm An Giang,5000,5300,5330,5337,Bán lẻ,Phân phối thực phẩm & dược phẩm,Phân phối thực phẩm
AGG,Công ty Cổ phần Đầu tư và Phát triển Bất động sản An Gia,8000,8600,8630,8633,Bất động sản,Bất động sản,Bất động sản
AGR,Công ty Cổ phần Chứng khoán AGRIBANK,8000,8700,8770,8777,Dịch vụ tài chính,Dịch vụ tài chính,Môi giới chứng khoán
ANT,Công ty Cổ phần Rau quả Thực phẩm An Giang,3000,3500,3570,3577,Thực phẩm và đồ uống,Sản xuất thực phẩm,Thực phẩm
ANV,Công ty Cổ phần Nam Việt,3000,3500,3570,3573,Thực phẩm và đồ uống,Sản xuất thực phẩm,Nuôi trồng nông & hải sản
APG,Công ty Cổ phần Chứng khoán APG,8000,8700,8770,8777,Dịch vụ tài chính,Dịch vụ tài chính,Môi giới chứng khoán
APH,Công ty Cổ phần Tập đoàn An Phát Holdings,2000,2700,2720,2723,Hàng & Dịch vụ Công nghiệp,Hàng công nghiệp,Containers & Đóng gói
ASG,Công ty Cổ phần Tập đoàn ASG,2000,2700,2770,2777,Hàng & Dịch vụ Công nghiệp,Vận tải,"Kho bãi, hậu cần và bảo dưỡng"
ASM,Công ty Cổ phần Tập đoàn Sao Mai,3000,3500,3570,3573,Thực phẩm và đồ uống,Sản xuất thực phẩm,Nuôi trồng nông & hải sản
ASP,Công ty Cổ phần Tập đoàn Dầu khí An Pha,7000,7500,7570,7573,"Điện, nước & xăng dầu khí đốt",Nước & Khí đốt,Phân phối xăng dầu & khí đốt
AST,Công ty Cổ phần Dịch vụ Hàng không Taseco,5000,5300,5370,5379,Bán lẻ,Bán lẻ,Phân phối hàng chuyên dụng
BAF,Công ty Cổ phần Nông nghiệp BAF Việt Nam,3000,3500,3570,3573,Thực phẩm và đồ uống,Sản xuất thực phẩm,Nuôi trồng nông & hải sản
BBC,,,,,,,,
BCE,Công ty Cổ phần Xây dựng và Giao thông Bình Dương,2000,2300,2350,2357,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng
BCG,Công ty Cổ phần Tập đoàn Bamboo Capital,8000,8700,8770,8775,Dịch vụ tài chính,Dịch vụ tài chính,Tài chính đặc biệt
BCM,Tập đoàn Đầu tư và Phát triển Công nghiệp Becamex - CTCP,8000,8600,8630,8633,Bất động sản,Bất động sản,Bất động sản
BFC,Công ty Cổ phần Phân bón Bình Điền,1000,1300,1350,1357,Hóa chất,Hóa chất,"Sản phẩm hóa dầu, Nông dược & Hóa chất khác"
BHN,Tổng Công ty Cổ phần Bia - Rượu - Nước giải khát Hà Nội,3000,3500,3530,3533,Thực phẩm và đồ uống,Bia và đồ uống,Sản xuất bia
BIC,Tổng Công ty Cổ phần Bảo hiểm Ngân hàng Đầu tư và Phát triển Việt Nam,8000,8500,8530,8536,Bảo hiểm,Bảo hiểm phi nhân thọ,Bảo hiểm phi nhân thọ
BID,Ngân hàng Thương mại Cổ phần Đầu tư và Phát triển Việt Nam,8301,8300,8350,8355,Ngân hàng,Ngân hàng,Ngân hàng
BII,,,,,,,,
BKG,Công ty Cổ phần Đầu tư BKG Việt Nam,3000,3700,3720,3726,Hàng cá nhân & Gia dụng,Hàng gia dụng,Thiết bị gia dụng
BMC,Công ty Cổ phần Khoáng sản Bình Định,1000,1700,1770,1775,Tài nguyên Cơ bản,Khai khoáng,Khai khoáng
BMI,Tổng Công ty Cổ phần Bảo Minh,8000,8500,8530,8536,Bảo hiểm,Bảo hiểm phi nhân thọ,Bảo hiểm phi nhân thọ
BMP,Công ty Cổ phần Nhựa Bình Minh,2000,2300,2350,2353,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất
BRC,Công ty Cổ phần Cao su Bến Thành,1000,1300,1350,1353,Hóa chất,Hóa chất,"Nhựa, cao su & sợi"
BSI,Công ty Cổ phần Chứng khoán BIDV,8000,8700,8770,8777,Dịch vụ tài chính,Dịch vụ tài chính,Môi giới chứng khoán
BSR,Công ty Cổ phần Lọc Hóa dầu Bình Sơn,0001,0500,0530,0533,Dầu khí,Sản xuất Dầu khí,Sản xuất và Khai thác dầu khí
