symbol,exchange,status,data_rows_2018_2025,source,first_date,last_date,total_trading_days,avg_volume,listing_phase,organ_name,icb_code1,icb_code2,icb_code3,icb_code4,icb_name2,icb_name3,icb_name4
AAA,HOSE,ACTIVE,1999,symbols_by_exchange,2018-01-02,2025-12-31,1999,3503631.5577788893,FULL_PERIOD,Công ty Cổ phần Nhựa An Phát Xanh,1000,1300,1350,1353,Hóa chất,Hóa chất,"Nhựa, cao su & sợi"
AAM,HOSE,ACTIVE,1988,symbols_by_exchange,2018-01-02,2025-12-31,1988,8250.485412474849,FULL_PERIOD,Công ty Cổ Phần Thủy Sản MeKong,3000,3500,3570,3573,Thực phẩm và đồ uống,Sản xuất thực phẩm,Nuôi trồng nông & hải sản
AAT,HOSE,ACTIVE,1195,symbols_by_exchange,2021-03-24,2025-12-31,1195,513601.2987447699,IPO_DURING_PERIOD,Công ty Cổ phần Tập đoàn Tiên Sơn Thanh Hóa,3000,3700,3760,3763,Hàng cá nhân & Gia dụng,Hàng cá nhân,Hàng May mặc
ABR,HOSE,ACTIVE,1773,symbols_by_exchange,2018-06-13,2025-12-31,1773,2617.41342357586,FULL_PERIOD,Công ty Cổ phần Đầu tư Nhãn Hiệu Việt,2000,2700,2790,2791,Hàng & Dịch vụ Công nghiệp,Tư vấn & Hỗ trợ Kinh doanh,Tư vấn & Hỗ trợ KD
ABS,HOSE,ACTIVE,1450,symbols_by_exchange,2020-03-18,2025-12-31,1450,653363.6034482758,IPO_DURING_PERIOD,Công ty Cổ phần Dịch vụ Nông nghiệp Bình Thuận,1000,1300,1350,1357,Hóa chất,Hóa chất,"Sản phẩm hóa dầu, Nông dược & Hóa chất khác"
ABT,HOSE,ACTIVE,1991,symbols_by_exchange,2018-01-02,2025-12-31,1991,3040.6649924660974,FULL_PERIOD,Công ty Cổ phần Xuất nhập khẩu Thủy sản Bến Tre,3000,3500,3570,3573,Thực phẩm và đồ uống,Sản xuất thực phẩm,Nuôi trồng nông & hải sản
ACB,HOSE,ACTIVE,1994,symbols_by_exchange,2018-01-02,2025-12-31,1994,6407129.261785356,FULL_PERIOD,Ngân hàng Thương mại Cổ phần Á Châu,8301,8300,8350,8355,Ngân hàng,Ngân hàng,Ngân hàng
ACC,HOSE,ACTIVE,1998,symbols_by_exchange,2018-01-02,2025-12-31,1998,58031.42142142142,FULL_PERIOD,Công ty Cổ phần Đầu tư và Xây dựng Bình Dương ACC,2000,2300,2350,2353,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất
ACG,HOSE,ACTIVE,1090,symbols_by_exchange,2021-08-04,2025-12-31,1090,33229.21467889908,IPO_DURING_PERIOD,Công ty Cổ phần Gỗ An Cường,1000,1700,1730,1733,Tài nguyên Cơ bản,Lâm nghiệp và Giấy,Lâm sản và Chế biến gỗ
ACL,HOSE,ACTIVE,1998,symbols_by_exchange,2018-01-02,2025-12-31,1998,85178.56456456457,FULL_PERIOD,Công ty Cổ phần Xuất nhập khẩu Thủy sản Cửu Long An Giang,3000,3500,3570,3573,Thực phẩm và đồ uống,Sản xuất thực phẩm,Nuôi trồng nông & hải sản
ADG,HOSE,ACTIVE,1480,symbols_by_exchange,2019-12-26,2025-12-31,1480,42215.73918918919,FULL_PERIOD,Công ty Cổ phần Clever Group,5000,5500,5550,5555,Truyền thông,Truyền thông,Dịch vụ truyền thông
ADP,HOSE,ACTIVE,1904,symbols_by_exchange,2018-01-02,2025-12-31,1904,3188.9490546218485,FULL_PERIOD,Công ty Cổ phần Sơn Á Đông,2000,2300,2350,2353,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất
ADS,HOSE,ACTIVE,1998,symbols_by_exchange,2018-01-02,2025-12-31,1998,262355.8668668669,FULL_PERIOD,Công ty Cổ phần DAMSAN,3000,3700,3760,3763,Hàng cá nhân & Gia dụng,Hàng cá nhân,Hàng May mặc
AFX,HOSE,ACTIVE,1964,symbols_by_exchange,2018-01-02,2025-12-31,1964,108004.88187372709,FULL_PERIOD,Công ty Cổ phần Xuất Nhập khẩu Nông sản Thực phẩm An Giang,5000,5300,5330,5337,Bán lẻ,Phân phối thực phẩm & dược phẩm,Phân phối thực phẩm
